snapshot_id,target,target_name,endpoint,standard_type,molecule_chembl_id,canonical_smiles,p_value,standard_value_nM,split,scaffold_smiles,source
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL180154,O=C(c1cnc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1)N1CCCCC1,6.337242168318426,460.0,external,O=C(c1cnc(-c2ccccc2)c(-c2ccccc2)c1)N1CCCCC1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL180648,O=C(NC1CCCCC1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,7.022276394711152,95.0,external,O=C(NC1CCCCC1)c1ccc(-c2ccccc2)c(-c2ccccc2)n1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL202169,CC(=O)Nc1c(C(C)=O)c(=O)n(Cc2ccccc2)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,8.638272163982407,2.3,external,O=c1ccc2cc(-c3ccccc3)c(-c3ccccc3)nc2n1Cc1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2096840,C[C@@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@H](Cc1ccc(Cl)cc1)c1ccc(Cl)cc1,7.886056647693163,13.0,external,O=C(COc1ccccc1)NC[C@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2096841,C[C@@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@H](Cc1ccc(Cl)cc1)c1ccccc1,6.769551078621726,170.0,external,O=C(COc1ccccc1)NC[C@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2113257,C[C@H](NC(=O)C(C)(C)Oc1cccnc1)[C@@H](Cc1ccc(Cl)cc1)c1ccccc1,7.721246399047171,19.0,external,O=C(COc1cccnc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL230294,C[C@H](NC(=O)Cc1ccccc1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,7.355561410532162,44.1,external,O=C(Cc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL230826,C[C@H](NS(=O)(=O)c1cccc2ccccc12)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,7.675717544702307,21.1,external,O=S(=O)(NC[C@@H](Cc1ccccc1)c1ccccc1)c1cccc2ccccc12,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL230927,C[C@H](NS(=O)(=O)Cc1ccccc1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,7.679853713888946,20.9,external,O=S(=O)(Cc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL231034,C[C@H](NS(=O)(=O)Cc1ccccc1Cl)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,7.795880017344075,16.0,external,O=S(=O)(Cc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL231240,C[C@H](NS(=O)(=O)Cc1ccc(Cl)cc1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,7.8124792791635365,15.4,external,O=S(=O)(Cc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL231342,C[C@H](NS(=O)(=O)/C=C/c1ccccc1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,7.3788237182249645,41.8,external,O=S(=O)(/C=C/c1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL389774,C[C@H](NS(=O)(=O)Cc1cccc(Cl)c1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,7.2716462179787715,53.5,external,O=S(=O)(Cc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL180949,Cn1c(C(=O)N2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,5.958607314841775,1100.0,scaffold_test,O=C(c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)N1CCCCC1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2113249,C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc1ccc(Cl)cc1)c1ccc(F)cc1,7.045757490560675,90.0,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2113250,C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(F)c1,8.55284196865778,2.8,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2113251,C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc1ccc(Cl)cc1)c1ccccc1F,7.920818753952375,12.0,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2113252,C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc1ccccc1Cl)c1ccccc1,6.853871964321762,140.0,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2113253,C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc1ccc(C(F)(F)F)cc1)c1ccccc1,8.468521082957745,3.4,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2113254,C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc1ccc(F)cc1)c1ccccc1,7.853871964321762,14.0,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2113255,C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc1ccccc1)c1ccccc1,7.481486060122112,33.0,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL2113256,C[C@H](NC(=O)C(C)(C)Oc1ccccc1Cl)[C@@H](Cc1ccc(Cl)cc1)c1ccccc1,7.7447274948966935,18.0,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL217862,C[C@H](NC(=O)C(C)(C)Oc1ccccc1)[C@@H](Cc1ccc(Cl)cc1)c1ccccc1,8.698970004336019,2.0,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL218649,C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc1ccc(Cl)cc1)c1ccccc1,8.522878745280337,3.0,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL219188,CC(NC(=O)C(C)(C)Oc1ccc(Cl)cc1)C(Cc1ccc(Cl)cc1)c1ccccc1,8.602059991327963,2.5,scaffold_test,O=C(COc1ccccc1)NCC(Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL219480,C[C@H](NC(=O)C(C)(C)Oc1cc(F)cc(F)c1)[C@@H](Cc1ccc(Cl)cc1)c1ccccc1,8.958607314841775,1.1,scaffold_test,O=C(COc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL230890,Cc1c2c(n(-c3ccc(Cl)cc3Cl)c1-c1cc3ccccc3s1)CCN(C1CCCCC1)C2=O,7.638272163982407,23.0,scaffold_test,O=C1c2cc(-c3cc4ccccc4s3)n(-c3ccccc3)c2CCN1C1CCCCC1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL231245,C[C@H](NC(=O)CCc1ccccc1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,7.416801226031377,38.3,scaffold_test,O=C(CCc1ccccc1)NC[C@@H](Cc1ccccc1)c1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL361785,O=C(NC1CCCC1)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,7.7447274948966935,18.0,scaffold_test,O=C(NC1CCCC1)c1cc(-c2ccccc2)c(-c2ccccc2)nc1OCc1ccccc1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL362638,Cn1c(C(=O)N2CCCCC2)nc(-c2ccccc2)c1-c1ccccc1,4.721246399047171,19000.0,scaffold_test,O=C(c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)N1CCCCC1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL362643,Cn1c(C(=O)Nc2ccccc2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,7.221848749616356,60.0,scaffold_test,O=C(Nc1ccccc1)c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1,ChEMBL
chembl-endpoint-20260529T111633Z,CHEMBL218,CB1,pIC50,IC50,CHEMBL362694,Cc1ccc(-c2nc(C(=O)N3CCCCC3)n(C)c2-c2ccc(C)cc2)cc1,5.468521082957745,3400.0,scaffold_test,O=C(c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)N1CCCCC1,ChEMBL
